robot_id,event,data
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.303270803612051, 6.9357883368361115], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.303270803612051, 6.9357883368361115], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.608656705771391, 4.8910082235364944], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot3"", ""position"": [10.608656705771391, 4.8910082235364944], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.319704211872336, 6.995302459536272], ""mode"": ""coordinated""}"
robot2,OBSTACLE_RECEIVED,"{""robot_id"": ""robot2"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot1"", ""position"": [10.319704211872336, 6.995302459536272], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.900000162422657, 4.800000071525574], ""mode"": ""coordinated""}"
robot3,OBSTACLE_RECEIVED,"{""robot_id"": ""robot3"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [10.607451044154459, 5.077711556081674], ""mode"": ""coordinated""}"
robot1,OBSTACLE_RECEIVED,"{""robot_id"": ""robot1"", ""event"": ""OBSTACLE_RECEIVED"", ""from"": ""robot2"", ""position"": [10.607451044154459, 5.077711556081674], ""mode"": ""coordinated""}"
robot3,CONFLICT_YIELD,"{""robot_id"": ""robot3"", ""event"": ""CONFLICT_YIELD"", ""peer"": ""robot1"", ""position"": [10.900000162422657, 4.800000071525574], ""mode"": ""coordinated""}"
